"filename", "language", "JavaScript", "JSON", "CSS", "Markdown", "HTML", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\alafd\Desktop\React\bankr\src\pages\Landing.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\alafd\Desktop\React\bankr\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\alafd\Desktop\React\bankr\src\pages\Logs.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 8, 66
"c:\Users\alafd\Desktop\React\bankr\src\pages\Logs.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alafd\Desktop\React\bankr\src\pages\NewSpace.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 7, 73
"c:\Users\alafd\Desktop\React\bankr\src\pages\NewSpace.module.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\alafd\Desktop\React\bankr\src\pages\ProtectedRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\Users\alafd\Desktop\React\bankr\src\pages\SpacePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 78, 0, 0, 8, 86
"c:\Users\alafd\Desktop\React\bankr\src\pages\SpacePage.module.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\alafd\Desktop\React\bankr\src\pages\Spaces.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 7, 70
"c:\Users\alafd\Desktop\React\bankr\src\pages\Spaces.module.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\alafd\Desktop\React\bankr\src\pages\Transfer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 6, 74
"c:\Users\alafd\Desktop\React\bankr\src\pages\Transfer.module.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\alafd\Desktop\React\bankr\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 28, 9199, 991, 5, 13, 2972, 2, 121, 584, 13915
